"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","batch_size","class_weight","clf__C","clf__activation","clf__alpha","clf__batch_size","clf__class_weight","clf__colsample_bytree","clf__criterion","clf__hidden_layer_sizes","clf__learning_rate","clf__learning_rate_init","clf__max_depth","clf__max_features","clf__max_iter","clf__min_samples_leaf","clf__min_samples_split","clf__n_estimators","clf__penalty","clf__reg_alpha","clf__reg_lambda","clf__solver","clf__subsample","cv","dataset","dropout","epochs","hidden_layers","l2","lr","model","search_n_iter","val_accuracy","val_auc","val_f1","val_precision","val_recall"
"2025-08-13 00:30:11","11.7s","1d6d1461f7af4ebda1fb904d0225cc2f","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","40","(64,)","0.001","0.001","mlp","","0.6911392405063291","0.7393014474512272","0.6629834254143646","0.6185567010309279","0.7142857142857143"
"2025-08-13 01:03:00","13.0s","8c033fd8b15a474d98d96bdb8c37d10e","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(128, 64)","1e-05","0.0005","mlp","","0.6","0.7523337528844136","0.6623931623931624","0.5166666666666667","0.9226190476190477"
"2025-08-13 00:45:11","12.0s","098e2c58fe004f3cb616c6f84c392b01","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(128,)","0.001","0.0005","mlp","","0.6303797468354431","0.7451489406335221","0.662037037037037","0.5416666666666666","0.8511904761904762"
"2025-08-13 00:47:57","11.8s","59e7515447b64584b0a8fe21439498e9","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","80","(128,)","1e-05","0.0005","mlp","","0.7215189873417721","0.7570012586532411","0.6604938271604939","0.6858974358974359","0.6369047619047619"
"2025-08-13 01:40:18","14.1s","085f4cffbc554e38ad6f8fd576a438a8","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","80","(128, 64, 32)","0.001","0.001","mlp","","0.7291139240506329","0.7481644640234949","0.6603174603174603","0.7074829931972789","0.6190476190476191"
"2025-08-13 00:29:23","12.1s","2232fd2182af4cb7a1b1e48fc7d798e2","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","40","(64,)","0.001","0.001","mlp","","0.579746835443038","0.8390497168030208","0.6598360655737706","0.503125","0.9583333333333334"
"2025-08-13 00:43:02","11.7s","a6e0808f8c504fb184375e5b61919acb","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(128,)","0.0001","0.0005","mlp","","0.6126582278481013","0.7966750576882736","0.6592427616926503","0.5266903914590747","0.8809523809523809"
"2025-08-13 00:55:06","11.9s","0bc9f46c741d4d98aa0b066779269622","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","128","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(128,)","1e-05","0.0005","mlp","","0.6329113924050633","0.7678046989720999","0.6588235294117647","0.5447470817120622","0.8333333333333334"
"2025-08-13 01:33:08","13.5s","5c8eee28ce8b478a8b6bdb478e19f6fc","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(128, 64, 32)","0.001","0.0005","mlp","","0.610126582278481","0.7275540172015944","0.6577777777777777","0.524822695035461","0.8809523809523809"
"2025-08-13 00:44:36","11.6s","563de84cabdf4d38a052518f5948b388","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","256","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(128,)","0.001","0.001","mlp","","0.5772151898734177","0.8021029997902245","0.6570841889117043","0.5015673981191222","0.9523809523809523"
